service,from_existing,from_nonuser,from_residual,residual_ratio,total_inflow,nonuser_ratio,novelty,BlueOceanScore,estimated_sales,arpu,eps,tau,nonuser_mass,D_nonuser,residual_mass
new11,14736876.100498164,3163564.945192743,23911.74195483317,0.0013340365612148745,17924352.78764574,0.1764953514736227,0.40825713,0.012973142633795788,21509223345.174885,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new12,19110881.45237286,2429788.503259218,13339.187316601727,0.0006188726759896358,21554009.14294868,0.11273023441460843,0.33141217,0.008088566940654842,25864810971.538414,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new13,12451425.552109184,3202267.3206066666,21853.00845293621,0.0013940827718917576,15675545.881168788,0.20428426192503998,0.42460322,0.013657636011708458,18810655057.402546,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new14,27400342.28463092,2477565.2448537145,19127.63239395438,0.0006397835869137897,29897035.161878593,0.0828699311299213,0.360698,0.008976427249440698,35876442194.25431,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new15,12457427.759092936,2967944.9624259584,17337.806006958595,0.0011227178011304964,15442710.527525853,0.19219067514966015,0.43818122,0.013063040352383764,18531252633.031025,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new16,15073163.377712362,3328939.701440365,28393.307485517686,0.0015405611921609605,18430496.386638243,0.18062127202682304,0.28775883,0.009622086284936326,22116595663.965893,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new17,12941998.120291479,2871783.6804838167,16146.010701755944,0.0010199674246176742,15829927.811477052,0.1814148311151305,0.50773376,0.01464611466841173,18995913373.77246,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new18,11809538.271939,2880342.291243327,15203.90466877325,0.0010339216141201156,14705084.4678511,0.195873903175494,0.5307901,0.015356829800388095,17646101361.42132,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new19,19925588.745773613,2835811.880518014,21860.222807444025,0.0009594861311658314,22783260.849099074,0.12446909594287299,0.3752719,0.010689517726262334,27339913018.918888,1200,0.2,0.2,0.1752646377390957,0.6987082362174988,0.1
new0,7514858.051094696,1150957.08942222,3412.1197650336044,0.000393589839392748,8669227.260281948,0.13276351569364528,0.54768103,0.006331717026242705,10403072712.338339,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new1,6412233.924504277,1331065.8825155874,5020.910290588004,0.0006479998019920412,7748320.717310453,0.17178765968500312,0.41972306,0.005611733648011074,11622481075.96568,1500,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new2,8221051.151457994,1280232.3837683212,4742.426764126902,0.0004988863677723322,9506025.961990442,0.13467587705811995,0.40198883,0.005169368144744502,9506025961.990442,1000,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new3,4710009.314769301,1189419.3412425367,3384.3606540092496,0.0005733470879822781,5902813.016665846,0.20150042664139312,0.48333538,0.005774551283700749,7673656921.6656,1300,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new4,8935465.770111771,1088801.3929324339,3025.6994546752435,0.0003017463931856495,10027292.86249888,0.10858378306715738,0.25952023,0.00283827553218464,16043668579.998207,1600,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new5,13514594.508283358,1428183.5095237936,7315.964616782971,0.0004893591053931819,14950093.982423937,0.09553006898838469,0.22945751,0.0032917053928226588,17940112778.908726,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new6,7911733.8525658185,1227600.8957952904,4162.182593537166,0.00045520686723767565,9143496.930954646,0.1342594529276142,0.4355607,0.005370819420745654,10972196317.145576,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new7,5077845.861627665,1338164.4095307952,4849.311161400263,0.0007552432971362696,6420859.582319862,0.20840891976761083,0.35776564,0.004808867076650953,7705031498.783834,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new8,7205115.062944635,1257571.7951362391,4369.438702067967,0.0005160516889120172,8467056.296782942,0.14852526675818295,0.45153052,0.005703672213834967,10160467556.13953,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new9,7069549.766698766,1229721.8152587009,4076.8992760904835,0.0004909946011906769,8303348.481233558,0.14809950684811093,0.4041722,0.004992384109506643,9964018177.480268,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new10,7724879.438613597,1350072.3447970657,5454.296990838768,0.00060066663787327,9080406.080401503,0.14867973225459213,0.31940383,0.004331435188877215,10896487296.481804,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new11,6349441.667636088,1387639.9868934362,5655.1476319528565,0.000730380972058117,7742736.8021614775,0.17921828190079506,0.40825713,0.005690432087282556,9291284162.593773,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new12,9335061.225550128,1092869.2486809993,3090.456990653672,0.000296275600541019,10431020.931221781,0.10477107235111184,0.33141217,0.0036380722287072133,12517225117.466137,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new13,5059289.437707494,1339144.6008348009,4855.944219174458,0.0007583514462483073,6403289.982761469,0.20913383658087653,0.42460322,0.005711437457938829,7683947979.313763,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new14,15592021.500615492,1257941.579094908,5252.23066576518,0.0003116086367957505,16855215.310376164,0.07463218688879708,0.360698,0.004557628136028647,20226258372.451397,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new15,4985993.521525611,1222577.107696765,3711.6077201889975,0.0005974628290577637,6212282.236942565,0.1967999941191449,0.43818122,0.005381020973747889,7454738684.331079,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new16,6864908.125956252,1478398.9869564772,6917.209146635045,0.0008283860265120514,8350224.322059364,0.17704901448586097,0.28775883,0.004273217267919477,10020269186.471237,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new17,5228181.674517455,1188589.566345199,3453.965307086025,0.0005379819548645764,6420225.20616974,0.1851320675173485,0.50773376,0.0060618141960597635,7704270247.403688,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new18,4604165.020272995,1161071.765965938,3139.2652040037715,0.0005442199287992841,5768376.051442938,0.20128225961889226,0.5307901,0.00619036895378094,6922051261.731525,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new19,9771549.77217653,1333861.4750283856,5559.566922742784,0.0005003673410494217,11110970.81412766,0.12004904857929909,0.3752719,0.005027955478869705,13333164976.953192,1200,0.3,0.05,0.1752646377390957,0.6987082362174988,0.1
new0,12058067.896126946,1889065.543644874,10808.233822181022,0.0007743429564996909,13957941.673594002,0.13533983647593667,0.54768103,0.010392245355028059,16749530008.312801,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new1,10304982.716227354,2174795.133561971,15362.666801347517,0.0012294913195213314,12495140.516590673,0.17405127462747164,0.41972306,0.009168870744005065,18742710774.88601,1500,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new2,12914598.545513192,2060439.482719704,14325.867242128998,0.0009557355029891347,14989363.895475024,0.13746010151516222,0.40198883,0.00831971629618813,14989363895.475025,1000,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new3,8036687.180795861,2011132.7409168808,11100.764384779504,0.0011035741041404094,10058920.686097521,0.19993524192873655,0.48333538,0.00976391483479843,13076596891.926777,1300,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new4,13418151.039785158,1793265.255740366,9695.611966267745,0.0006369844742745495,15221111.907491794,0.11781434015065124,0.25952023,0.004674664205173882,24353779051.98687,1600,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new5,19043700.00811489,2198571.7362083513,20299.273150255878,0.0009546951369885615,21262571.017473496,0.10340102964978101,0.22945751,0.005067311303011468,25515085220.968197,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new6,12546968.548572026,1991218.692091823,12812.624943785517,0.0008805322700929374,14550999.865607634,0.13684411452701722,0.4355607,0.008711688024233806,17461199838.72916,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new7,8563247.555282125,2213837.2108210237,15099.34646280931,0.0013991001548267026,10792184.112565957,0.20513338057709066,0.35776564,0.007955710673783986,12950620935.07915,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new8,11563805.343454668,2047634.7427817266,13460.833646466855,0.0009879582776872468,13624900.919882862,0.1502862116078662,0.45153052,0.009286974653579914,16349881103.859434,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new9,11416726.998729872,2009886.9635209106,12681.410535944986,0.0009436068026024352,13439295.372786727,0.14955300168420566,0.4041722,0.008159672874043825,16127154447.344072,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new10,12051432.354547124,2173775.1443638382,16305.6026307724,0.0011449347070436788,14241513.101541735,0.15263653018221168,0.31940383,0.0069741197123917575,17089815721.850082,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new11,10458779.61263587,2245186.0439345697,16970.193516885513,0.0013340365612148745,12720935.850087326,0.17649535147362266,0.40825713,0.009207055739959297,15265123020.104792,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new12,14072563.57137324,1789208.5858165186,9822.496255400394,0.0006188726759896354,15871594.653445158,0.11273023441460843,0.33141217,0.005956128855560463,19045913584.13419,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new13,8603011.230596516,2212529.1282719625,15098.80747036909,0.0013940827718917572,10830639.166338848,0.20428426192504004,0.42460322,0.00943641316413157,12996766999.606617,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
new14,21541131.41357525,1947769.774943141,15037.43415861786,0.0006397835869137899,23503938.62267701,0.0828699311299213,0.360698,0.007056933705279238,28204726347.21241,1200,0.3,0.1,0.1752646377390957,0.6987082362174988,0.1
